trade_date,ts_code,calibrated,c_struct,c_consensus,c_history,total_confidence,level,gates,future_5d_ret,season
2026-07-01,000725.SZ,68.9,40.0,85.0,90,68.2,B,-,-12.998962016293625,chaos
2026-07-01,000725.SZ,68.9,40.0,85.0,90,68.2,B,-,-12.998962016293625,chaos
2026-07-01,000729.SZ,36.8,30.0,45.0,87.0,49.5,C,-,5.128266840031159,chaos
2026-07-01,000729.SZ,36.8,30.0,45.0,87.0,49.5,C,-,5.128266840031159,chaos
2026-07-01,000733.SZ,35.0,40.0,60.0,80.6,57.1,C,-,-24.044898499991728,chaos
2026-07-01,000733.SZ,35.0,40.0,60.0,80.6,57.1,C,-,-24.044898499991728,chaos
2026-07-01,000752.SZ,25.1,50.0,30.0,67.9,47.5,C,-,-5.5412347201595935,chaos
2026-07-01,000752.SZ,25.1,50.0,30.0,67.9,47.5,C,-,-5.5412347201595935,chaos
2026-07-01,000762.SZ,24.8,25.0,80.0,90,60.5,B,-,-12.668061399569607,chaos
2026-07-01,000762.SZ,24.8,25.0,80.0,90,60.5,B,-,-12.668061399569607,chaos
2026-07-01,000768.SZ,33.1,30.0,30.0,90,45.0,C,-,-3.5766750153186533,chaos
2026-07-01,000768.SZ,33.1,30.0,30.0,90,45.0,C,-,-3.5766750153186533,chaos
2026-07-01,000786.SZ,5.0,50.0,60.0,90,63.5,B,confidence_overrated,-4.17586785367432,chaos
2026-07-01,000786.SZ,5.0,50.0,60.0,90,63.5,B,confidence_overrated,-4.17586785367432,chaos
2026-07-01,000793.SZ,11.7,25.0,80.0,81.4,58.4,C,-,2.4291621706761912,chaos
2026-07-01,000793.SZ,11.7,25.0,80.0,81.4,58.4,C,-,2.4291621706761912,chaos
2026-07-01,000799.SZ,35.3,50.0,30.0,90,53.0,C,-,-13.895816179302656,chaos
2026-07-01,000799.SZ,35.3,50.0,30.0,90,53.0,C,-,-13.895816179302656,chaos
2026-07-01,000800.SZ,31.3,35.0,45.0,90,52.2,C,-,4.0021884228613525,chaos
2026-07-01,000800.SZ,31.3,35.0,45.0,90,52.2,C,-,4.0021884228613525,chaos
2026-07-01,000807.SZ,5.0,25.0,80.0,90,60.5,B,confidence_overrated,2.3853854727909685,chaos
2026-07-01,000807.SZ,5.0,25.0,80.0,90,60.5,B,confidence_overrated,2.3853854727909685,chaos
2026-07-01,000811.SZ,38.4,25.0,40.0,70.2,41.5,C,-,-8.743335469618996,chaos
2026-07-01,000815.SZ,18.1,25.0,40.0,69.2,41.3,C,-,-7.964550640098689,chaos
2026-07-01,000816.SZ,25.5,25.0,60.0,90,53.5,C,-,0.8402888098503203,chaos
2026-07-01,000816.SZ,25.5,25.0,60.0,90,53.5,C,-,0.8402888098503203,chaos
2026-07-01,000830.SZ,30.0,50.0,45.0,75.2,54.5,C,-,-3.525604354920564,chaos
2026-07-01,000830.SZ,30.0,50.0,45.0,75.2,54.5,C,-,-3.525604354920564,chaos
2026-07-01,000831.SZ,19.1,30.0,45.0,90,50.2,C,-,-9.046439346564982,chaos
2026-07-01,000831.SZ,19.1,30.0,45.0,90,50.2,C,-,-9.046439346564982,chaos
2026-07-01,000837.SZ,30.0,25.0,40.0,50.8,36.7,D,-,-6.228111504887412,chaos
2026-07-01,000852.SZ,5.0,50.0,45.0,90,58.2,C,-,-1.7928291464076151,chaos
2026-07-01,000852.SZ,5.0,50.0,45.0,90,58.2,C,-,-1.7928291464076151,chaos
2026-07-01,000858.SZ,27.6,25.0,80.0,51.5,50.9,C,-,-4.079426746763081,chaos
2026-07-01,000858.SZ,27.6,25.0,80.0,51.5,50.9,C,-,-4.079426746763081,chaos
2026-07-01,000859.SZ,20.0,50.0,45.0,66.7,52.4,C,-,-18.96554036851449,chaos
2026-07-01,000859.SZ,20.0,50.0,45.0,66.7,52.4,C,-,-18.96554036851449,chaos
2026-07-01,000877.SZ,5.0,50.0,45.0,90,58.2,C,-,-1.086872241845227,chaos
2026-07-01,000877.SZ,5.0,50.0,45.0,90,58.2,C,-,-1.086872241845227,chaos
2026-07-01,000895.SZ,35.5,40.0,45.0,84.2,52.8,C,-,-0.5168232638549042,chaos
2026-07-01,000895.SZ,35.5,40.0,45.0,84.2,52.8,C,-,-0.5168232638549042,chaos
2026-07-01,000898.SZ,35.1,50.0,30.0,90,53.0,C,-,-1.0525853188431467,chaos
2026-07-01,000898.SZ,35.1,50.0,30.0,90,53.0,C,-,-1.0525853188431467,chaos
2026-07-01,000901.SZ,33.8,25.0,60.0,84.2,52.0,C,-,-10.17996319866812,chaos
2026-07-01,000901.SZ,33.8,25.0,60.0,84.2,52.0,C,-,-10.17996319866812,chaos
2026-07-01,000906.SZ,24.9,50.0,45.0,51.6,48.6,C,-,2.119473830043872,chaos
2026-07-01,000906.SZ,24.9,50.0,45.0,51.6,48.6,C,-,2.119473830043872,chaos
2026-07-01,000910.SZ,5.0,40.0,60.0,90,59.5,C,-,3.8460664257334187,chaos
2026-07-01,000910.SZ,5.0,40.0,60.0,90,59.5,C,-,3.8460664257334187,chaos
2026-07-01,000913.SZ,18.2,50.0,45.0,51.7,48.7,C,-,-0.0961123107153461,chaos
2026-07-01,000913.SZ,18.2,50.0,45.0,51.7,48.7,C,-,-0.0961123107153461,chaos
2026-07-01,000920.SZ,35.5,30.0,30.0,89.4,44.9,C,-,-25.768522477860856,chaos
2026-07-01,000920.SZ,35.5,30.0,30.0,89.4,44.9,C,-,-25.768522477860856,chaos
2026-07-01,000927.SZ,29.3,40.0,45.0,50.3,44.3,C,-,-0.8511290245483027,chaos
2026-07-01,000927.SZ,29.3,40.0,45.0,50.3,44.3,C,-,-0.8511290245483027,chaos
2026-07-01,000932.SZ,29.9,50.0,45.0,90,58.2,C,-,-2.816823930576773,chaos
2026-07-01,000932.SZ,29.9,50.0,45.0,90,58.2,C,-,-2.816823930576773,chaos
