ts_code,entry_date,exit_date,hold_days,entry_price,exit_price,shares,net_pnl,profit_pct,entry_score,exit_reason,entry_season,exit_season
300124.SZ,2025-09-11,2025-10-17,20,80.7,77.59,1200,-4302,-3.85,76.4,SCORE_DROP,chaos_spring,chaos
605060.SH,2025-09-03,2025-10-20,27,27.4,25.42,3600,-7698,-7.23,78.7,SCORE_DROP,summer,chaos
300223.SZ,2025-08-15,2025-10-27,45,70.3,93.92,1400,32378,33.6,75.7,MAX_HOLD,summer,chaos_spring
600172.SH,2025-10-20,2025-11-05,12,6.38,6.28,15600,-2152,-1.57,73.7,SCORE_DROP,chaos,chaos
002156.SZ,2025-09-03,2025-11-10,42,35.36,40.14,2800,12750,13.52,77.3,SCORE_DROP,summer,chaos
000021.SZ,2025-09-16,2025-11-12,35,21.94,26.0,4500,17623,18.51,79.0,SCORE_DROP,chaos_spring,chaos_spring
002185.SZ,2025-10-17,2025-11-14,20,12.96,11.41,7700,-12498,-11.96,73.5,SCORE_DROP,chaos,chaos_spring
600118.SH,2025-09-08,2025-11-18,45,36.21,41.35,2700,13250,14.19,79.1,MAX_HOLD,chaos_spring,chaos_spring
601126.SH,2025-10-15,2025-11-19,25,24.88,26.55,4000,6063,6.71,75.6,SCORE_DROP,chaos_spring,chaos_spring
603629.SH,2025-11-05,2025-11-19,10,30.44,26.42,3200,-13410,-13.21,74.6,STOP_LOSS,chaos,chaos_spring
688525.SH,2025-10-14,2025-11-20,27,104.46,112.68,900,6812,7.87,79.7,SCORE_DROP,chaos_spring,chaos_spring
688072.SH,2025-09-19,2025-11-21,39,210.16,290.0,400,31336,37.99,78.7,SCORE_DROP,chaos_spring,chaos
605060.SH,2025-10-27,2025-11-21,19,29.03,34.07,3400,16492,17.36,81.8,SCORE_DROP,chaos_spring,chaos
300223.SZ,2025-11-10,2025-11-21,9,95.56,77.58,1000,-18499,-18.82,80.1,STOP_LOSS,chaos,chaos
688313.SH,2025-11-12,2025-11-21,7,84.61,71.27,1100,-15188,-15.77,79.9,STOP_LOSS,chaos_spring,chaos
000859.SZ,2025-11-21,2025-11-28,5,8.68,7.63,11500,-12638,-12.1,69.0,STOP_LOSS,chaos,chaos
000558.SZ,2025-11-19,2025-12-09,14,5.72,5.39,17400,-6322,-5.77,72.1,SCORE_DROP,chaos_spring,chaos
000681.SZ,2025-11-21,2025-12-09,12,25.34,22.52,3900,-11558,-11.13,69.8,SCORE_DROP,chaos,chaos
000633.SZ,2025-11-19,2025-12-12,17,8.55,7.79,11600,-9385,-8.89,72.6,SCORE_DROP,chaos_spring,chaos
001222.SZ,2025-11-21,2025-12-12,15,24.19,23.67,4100,-2721,-2.15,63.5,SCORE_DROP,chaos,chaos
600007.SH,2025-11-21,2025-12-12,15,20.97,18.76,4700,-10947,-10.54,62.5,SCORE_DROP,chaos,chaos
605060.SH,2025-12-12,2025-12-16,2,41.55,36.36,2400,-13017,-12.49,86.0,STOP_LOSS,chaos,chaos
688313.SH,2025-12-12,2025-12-16,2,109.0,95.56,900,-12648,-12.33,81.2,STOP_LOSS,chaos,chaos
000729.SZ,2025-10-17,2025-12-19,45,12.68,12.15,7800,-4715,-4.18,72.4,MAX_HOLD,chaos,chaos
688195.SH,2025-11-20,2025-12-19,21,157.6,164.71,600,3686,4.51,68.5,SCORE_DROP,chaos_spring,chaos
002329.SZ,2025-12-19,2025-12-30,7,4.58,3.98,21800,-13640,-13.1,72.7,STOP_LOSS,chaos,chaos_spring
688313.SH,2025-12-16,2025-12-31,11,95.56,88.78,1000,-7333,-7.1,75.2,SCORE_DROP,chaos,chaos_spring
300502.SZ,2025-12-16,2026-01-08,15,407.2,410.34,200,137,0.77,73.3,SCORE_DROP,chaos,summer
000415.SZ,2025-11-14,2026-01-20,45,3.82,4.2,26100,9290,9.95,79.4,MAX_HOLD,chaos_spring,chaos_spring
688037.SH,2025-11-18,2026-01-22,45,127.13,206.0,700,54509,62.04,73.7,MAX_HOLD,chaos_spring,chaos_spring
